1 0 3 76 61 4
1 1 6 48 61 15
1 2 1 85 60 -21
1 3 6 97 61 11
1 4 4 67 57 -13
1 5 1 83 60 -30
1 6 2 100 58 28
1 7 6 72 52 9
1 8 4 42 56 7
1 9 1 73 66 -3
1 10 6 78 61 20
1 11 1 24 55 -14
1 12 5 67 60 14
1 13 5 17 61 8
1 14 5 75 60 2
1 15 4 36 73 12
1 16 4 27 60 11
1 17 7 88 57 -1
1 18 4 64 50 -4
1 19 3 81 52 -0
1 20 5 29 67 -17
1 21 6 27 61 -1
1 22 8 52 63 -17
1 23 5 73 69 7
1 24 2 44 52 9
1 25 2 53 64 39
1 26 2 96 70 -7
1 27 5 64 53 6
1 28 4 59 62 23
1 29 2 52 59 -1
1 30 2 7 57 13
1 31 3 21 58 -4
1 32 3 57 66 -13
1 33 4 29 61 26
1 34 3 11 62 12
1 35 0 39 64 -4
1 36 2 100 61 -23
1 37 4 91 62 6
1 38 2 95 67 35
1 39 3 34 58 8
1 40 6 11 66 -8
1 41 4 31 57 -16
1 42 3 69 69 -5
1 43 5 41 63 -19
1 44 7 63 61 -6
1 45 4 8 66 5
1 46 4 16 64 -27
1 47 3 68 62 0
1 48 2 73 58 -6
1 49 5 46 58 -26
1 50 4 39 63 -18
1 51 4 100 61 13
1 52 1 80 61 -16
1 53 7 7 59 12
1 54 1 48 65 -11
1 55 4 41 60 -22
1 56 3 48 71 11
1 57 0 76 56 8
1 58 4 30 62 -17
1 59 4 95 69 11
1 60 7 100 55 -12
1 61 4 83 61 2
1 62 5 6 67 3
1 63 0 49 56 -6
1 64 5 1 52 -3
1 65 8 31 61 -6
1 66 7 93 63 16
1 67 4 50 52 -8
1 68 1 7 55 -3
1 69 2 26 64 -14
1 70 2 15 67 3
1 71 5 46 64 -10
1 72 3 98 59 -5
1 73 2 40 56 -10
1 74 7 4 65 7
1 75 1 31 53 5
1 76 5 98 69 -22
1 77 5 65 58 3
1 78 5 88 58 -20
1 79 9 23 55 8
1 80 2 96 54 4
1 81 1 52 59 7
1 82 4 0 55 -13
1 83 4 47 59 -7
1 84 3 23 57 -11
1 85 7 47 64 1
1 86 1 96 60 1
1 87 6 19 48 9
1 88 3 2 59 5
1 89 4 35 52 36
1 90 3 59 64 21
1 91 4 69 56 30
1 92 6 26 60 -16
1 93 3 1 54 -3
1 94 3 26 58 12
1 95 5 82 61 23
1 96 7 41 58 -21
1 97 7 68 68 8
1 98 4 46 60 -4
1 99 3 94 58 -15
2 0 5 57 68 -1
2 1 6 75 53 -7
2 2 2 44 65 -10
2 3 2 26 67 -22
2 4 4 9 56 -17
2 5 2 64 58 -21
2 6 5 76 61 17
2 7 3 71 56 11
2 8 1 67 59 -16
2 9 2 6 77 10
2 10 3 52 60 -13
2 11 3 34 56 -33
2 12 5 18 52 -35
